Material,Materialdescription,Price
3100000025    ,F3-HIGH,17.09
3100000027    ,BREAD FLOUR BAKER'STIME 01 (1 KG),30.62
3100000028    ,BREAD FLOUR BAKER'STIME 01 (22.5 KG),19.53
3100000029    ,BREAD FLOUR BAKER'STIME 01 (25 KG) NB,19.45
3100000031    ,BREAD FLOUR BAKER'STIME 02 (1 KG),0
3100000032    ,BREAD FLOUR BAKER'STIME 02 (22.5 KG),0
3100000033    ,BREAD FLOUR BAKER'STIME 02 (25 KG) NB,0
3100000034    ,BREAD FLOUR BAKER'STIME 03 (22.5 KG),18.84
3100000036    ,BREAD FLOUR BAKER'STIME 04 (22.5 KG),19.11
3100000038    ,ALL PURPOSE FLOUR HAPPYTIME 01 (1 KG),30.2
3100000039    ,ALL PURPOSE FLOUR HAPPYTIME 01 (22.5 KG),17.09
3100000040    ,ALL PURPOSE FLOUR HAPPYTIME 01 (25 KG)NB,17.05
3100000041    ,ALL PURPOSE FLOUR HAPPYTIME 02 (1 KG),25.74
3100000042    ,ALL PURPOSE FLOUR HAPPYTIME 02 (22.5 KG),16.45
3100000043    ,ALL PURPOSE FLOUR HAPPYTIME 02 (25 KG)NB,16.23
3100000044    ,ALL PURPOSE FLOUR PATONGGO (1 KG),25.84
3100000045    ,ALL PURPOSE FLOUR PATONGGO (22.5 KG),16.24
3100000046    ,ALL PURPOSE FLOUR PATONGGO (25 KG) NB,0
3100000047    ,ALL PURPOSE FLOUR HAPPYTIME 04 (1 KG),25.26
3100000048    ,ALL PURPOSE FLOUR HAPPYTIME 04 (22.5 KG),14.87
3100000049    ,ALL PURPOSE FLOUR HAPPYTIME 04 (25 KG)NB,15.75
3100000050    ,NOODLE FLOUR GOLDENTIME 01 (22.5 KG),19.83
3100000051    ,NOODLE FLOUR GOLDENTIME 01 (25 KG) NB,19.65
3100000052    ,NOODLE FLOUR GOLDENTIME 02 (22.5 KG),19.09
3100000053    ,NOODLE FLOUR GOLDENTIME 02 (25 KG) NB,0
3100000054    ,INSTANT NOODLE FLOUR 01 (22.5 KG),0
3100000055    ,INSTANT NOODLE FLOUR 02 (22.5 KG),0
3100000056    ,INSTANT NOODLE FLOUR 03 (22.5 KG),0
3100000057    ,BISCUITS FLOUR PARTYTIME BC1 (1 KG) NB,27.58
3100000058    ,BISCUITS FLOUR PARTYTIME 01 (22.5 KG),16.45
3100000059    ,BISCUITS FLOUR PARTYTIME 01 (25 KG)NB,16.21
3100000060    ,PARTYTIME FLOUR ALFREDO 01 (22.5 KG),18.22
3100000061    ,SALAPAO FLOUR PRIMETIME (1 KG),0
3100000062    ,SALAPAO FLOUR PRIMETIME (22.5 KG),0
3100000063    ,CAKE FLOUR GOODTIME (1 KG),0
3100000064    ,CAKE FLOUR GOODTIME (22.5 KG),0
3100000065    ,VITAL FLOUR G.28 (25 KG) NB,16.25
3100000066    ,VITAL FLOUR G.32 (25 KG) NB,16.76
3100000067    ,VITAL FLOUR G.34 (25 KG) NB,16.91
3100000068    ,VITAL FLOUR G.36 (25 KG) NB,17.02
