Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
2845    ,PL-VT28,90.00,83.193,85.826,4.791,87.120, 12.30 , 15.20 , 13.40 ,
2823    ,PL-VT34,80.00,75.327,77.283,5.484,81.083, 9.90 , 15.90 , 13.40 ,
2848    ,PL-ASW,90.00,84.729,85.436,4.228,84.642, - , 15.10 , 13.50 ,
2857    ,PL-APW10.5%,80.00,73.086,74.911,3.801,74.634, 10.20 , 14.40 , 12.90 ,
2858    ,PL-VT28(FOOD),90.00,84.649,85.735,1.873,83.949, 12.10 , 14.90 , 13.00 ,
2859    ,PL-VT34,80.00,75.076,76.869,5.190,78.034, 9.95 , 15.80 , 13.50 ,
2860    ,PL-DNS(BREAD),80.00,66.255,67.867,3.359,68.536, 11.70 , 15.40 , 13.10 ,
2861    ,PL-APW10.5%,90.00,48.617,49.607,2.606,49.280, - , 14.80 , 13.40 ,
2862    ,PL-ASW,80.00,79.029,79.605,3.844,79.861, 10.80 , 14.70 , 12.80 ,
2870    ,PL-C/P(NOODLE),90.00,88.419,91.571,5.084,91.681, 10.40 , 15.10 , 13.00 ,
2814    ,PL-VT28,90.00,83.479,86.373,4.899,87.557, 10.30 , 15.40 , 13.20 ,
2873    ,PL-DNS(BREAD),90.00,85.203,87.192,3.713,86.076, 11.80 , 15.40 , 13.30 ,
2847    ,PL-VT34,80.00,71.714,73.863,5.202,76.142, - , 15.90 , 13.50 ,
2881    ,PL-VT28,80.00,72.249,74.925,4.514,76.448, - , 15.90 , 13.20 ,
2882    ,PL-VT34,80.00,76.966,79.256,5.437,82.227, 9.90 , 15.55 , 13.45 ,
2884    ,PL-VT28,80.00,75.247,77.822,4.641,78.718, 10.40 , 15.70 , 13.10 ,
2885    ,PL-VT28,80.00,71.503,74.036,4.317,75.335, 10.60 , - , 13.15 ,
2886    ,PL-VT28(FOOD),80.00,76.362,77.138,1.816,76.284, 10.90 , 14.80 , 13.00 ,
2887    ,PL-VT28,80.00,73.550,75.759,4.465,78.019, 10.90 , 15.30 , 13.30 ,
2893    ,PL-APW10.5%,90.00,82.167,85.012,4.362,84.151, 10.65 , 14.60 , 13.50 ,
2895    ,PL-VT34,70.00,78.359,80.804,4.859,82.227, 10.70 , 15.80 , 13.70 ,
2908    ,PL-VT28,60.00,85.318,87.992,5.042,88.824, - , 15.70 , 13.40 ,
2896    ,PL-DNS(BREAD),90.00,85.269,86.714,4.146,87.062, 11.10 , 15.20 , 13.20 ,
2894    ,PL-VT28,90.00,85.29,87.873,4.875,88.714, 10.80 , 15.80 , 13.50 ,
2909    ,PL-VT28,90.00,85.306,87.784,4.609,89.086, - , 15.50 , 13.40 ,
2871    ,PL-C/P(NOODLE),90.00,87.424,90.583,4.336,91.415, 10.80 , 15.10 , 13.50 ,
2919    ,PL-ASW,90.00,87.941,89.321,4.404,90.309, - , 14.90 , 13.50 ,
2922    ,PL-APW10.5%,90.00,77.572,79.52,2.444,78.949, 10.60 , 14.80 , 13.30 ,
2925    ,PL-DNS(BREAD),90.00,85.097,86.924,2.505,86.976, 11.10 , 15.10 , 13.70 ,
2928    ,PL-VT28(FOOD),90.00,85.297,86.046,0.870,85.910, 12.20 , 15.10 , 13.40 ,
2929    ,PL-VT28,90.00,87.597,91.415,4.777,91.392, 11.20 , 15.50 , 13.50 ,
2936    ,PL-APW10.5%,90.00,86.323,87.324,4.040,87.340, 10.70 , 15.10 , 13.50 ,
2937    ,PL-ASW,90.00,86.503,89.169,4.634,89.320, 10.00 , 14.40 , 13.60 ,
2946    ,PL-SW10.5%,20.00,19.514,19.794,0.839,18.978, 10.00 , 14.10 , 13.20 ,
2948    ,PL-C/P(NOODLE),90.00,81.482,84.063,4.014,83.545, 10.80 , 15.40 , 13.60 ,
2949    ,PL-DNS(BREAD),90.00,85.220,87.144,3.491,85.605,11.40, 15.60 , 13.80 ,
2954    ,PL-APW10.5%,90.00,81.024,82.815,3.752,82.506, 10.40 , 14.20 , 13.30 ,
2955    ,PL-VT28,90.00,81.521,84.160,4.500,84.481, 10.80 , 15.50 , 13.50 ,
2967    ,PL-C/P(NOODLE),90.00,80.665,82.989,4.171,83.876, 10.80 , 15.20 , 13.50 ,
2960    ,PL-VT28,80.00,75.355,78.014,4.295,78.705, - , 15.40 , 13.10 ,
2961    ,PL-VT28,80.00,75.301,78.247,4.640,79.419, 10.10 , 15.10 , 12.90 ,
2968    ,PL-VT28,90.00,85.299,88.911,5.514,91.337, 10.10 , 15.10 , 13.10 ,
2969    ,PL-VT28,90.00,85.302,88.834,5.502,91.169, 10.10 , 15.10 , 13.00 ,
2975    ,PL-APW10.5%,90.00,61.635,63.144,2.917,63.139, 10.70 , 14.90 , 13.30 ,
2976    ,PL-ASW,90.00,83.375,85.044,4.665,87.945, 10.30 , 14.80 , 13.00 ,
2981    ,PL-DNS(BREAD),90.00,79.417,81.057,3.421,80.190, 11.30 , 15.30 , 13.40 ,
2982    ,PL-VT28(FOOD),90.00,85.342,86.009,2.023,87.340, 12.10 , 14.50 , 13.45 ,
2988    ,PL-VT28,90.00,85.328,88.569,5.634,89.573, 10.00 , 15.30 , 13.20 ,
2989    ,PL-VT28,90.00,85.310,88.631,5.654,89.164, - , 15.70 , 13.00 ,
2994    ,PL-VT28,80.00,85.314,88.732,5.611,88.423, 10.30 , 15.50 , 13.15 ,
2999    ,PL-C/P(NOODLE),90.00,81.416,84.664,4.425,84.646, 10.40 , 14.90 , 12.90 ,
2995    ,PL-VT28,80.00,75.213,77.726,4.975,78.437, 10.50 , 15.60 , 13.10 ,
3003    ,PL-APW10.5%,90.00,83.136,85.624,4.265,84.266, 10.40 , 14.50 , 13.10 ,
3004    ,PL-ASW,80.00,75.277,76.209,3.561,77.277, 10.60 , 14.70 , 12.50 ,
3001    ,PL-VT28,80.00,75.287,76.944,4.617,78.253, 10.40 , 15.80 , 12.90 ,
3010    ,PL-APW10.5%,90.00,82.013,84.250,4.375,84.589, 10.50 , 15.20 , 13.30 ,
3011    ,PL-DNS(BREAD),90.00,79.632,81.531,3.53,81.895, 11.30 , 15.00 , 13.10 ,
3018    ,PL-VT34,90.00,85.246,87.327,4.401,86.664, 10.50 , 15.30 , 13.10 ,
3019    ,PL-VT28,80.00,75.275,77.333,4.087,76.377, 11.60 , 15.70 , 13.40 ,
3002    ,PL-VT28(FOOD),80.00,90.921,90.627,3.108,92.516, 11.30 , 14.50 , 12.80 ,
3026    ,PL-C/P(NOODLE),90.00,83.536,86.354,4.291,84.985, 11.30 , 15.50 , 13.50 ,
3027    ,PL-VT28,80.00,80.356,82.27,4.133,81.557, 11.60 , 16.30 , 13.40 ,
3028    ,PL-VT28,80.00,75.063,77.622,4.088,77.237, 11.60 , 16.00 , 13.20 ,
3032    ,PL-ASW,80.00,75.260,77.471,3.097,75.521, 11.00 , 16.00 , 13.00 ,
3031    ,PL-DNS(BREAD),90.00,80.030,82.013,3.673,82.390, 11.30 , 14.90 , 12.70 ,
3033    ,PL-VT28,80.00,75.250,77.711,4.085,76.429, 11.10 , 16.10 , 13.40 ,
3037    ,PL-C/P 2,60.00,58.943,60.357,3.093,59.681, 11.12 , 15.30 , 13.20 ,
3038    ,PL-VT28,90.00,85.239,87.866,4.551,86.559, 11.12 , 15.40 , 13.40 ,
3039    ,PL-VT28,90.00,85.237,88.131,5.026,87.867, 11.12 , 12.00 , 13.20 ,
3049    ,PL-VT28,80.00,77.65,79.836,4.333,80.069, 11.10 , 16.30 , 13.50 ,
3047    ,PL-ASW,90.00,84.286,85.699,3.658,84.250,11.10, 14.40 , 13.50 ,
3048    ,PL-APW10.5%,80.00,66.729,68.963,3.217,67.486, 10.90 , 15.30 , 13.50 ,
3055    ,PL-C/P(NOODLE),90.00,71.053,73.136,3.740,71.726, 10.90 , 15.50 , 13.50 ,
3056    ,PL-DNS(BREAD),80.00,69.819,71.657,3.348,72.490, 10.90 , 15.40 , 13.70 ,
3057    ,PL-VT28,80.00,85.276,87.569,4.405,85.459, 11.00 , 15.70 , 13.50 ,
3059    ,PL-VT28,90.00,85.281,87.838,4.674,88.000, 11.00 , 15.60 , 13.40 ,
3060    ,PL-VT28,80.00,75.307,77.413,4.215,78.478, 10.90 , 15.80 , 13.40 ,
3061    ,PL-VT28,80.00,75.259,77.492,4.246,78.654, 10.60 , 15.60 , 13.40 ,
3072    ,PL-SW10.5%,90.00,80.980,81.966,3.487,82.330, 10.00 , 14.30 , 12.70 ,
3068    ,PL-C/P 2,60.00,57.341,59.197,2.969,57.988, 10.80 , 15.60 , 13.20 ,
3069    ,PL-VT28,90.00,79.398,80.962,4.266,80.389, 10.80 , 15.90 , 13.50 ,
3075    ,PL-VT28,90.00,85.281,87.733,4.598,88.040, 10.80 , 15.90 , 13.40 ,
3078    ,PL-VT28(FOOD),80.00,85.314,85.845,3.357,87.113, 10.90 , 14.50 , 13.20 ,
3079    ,PL-ASW,80.00,74.443,75.268,3.379,74.854, 10.70 , 14.90 , 13.30 ,
3080    ,PL-DNS(BREAD),90.00,83.880,85.347,3.928,86.241, 10.70 , 15.30 , 13.50 ,
3087    ,PL-APW10.5%,80.00,74.453,76.773,3.472,74.581, 11.20 , 15.10 , 13.40 ,
3067    ,PL-DNS(BREAD),90.00,84.834,86.684,3.888,87.290, 11.20 , 15.50 , 13.50 ,
3091    ,PL-C/P(NOODLE),90.00,83.275,85.325,4.553,86.612, 10.70 , 15.60 , 13.70 ,
3081    ,PL-ASW,80.00,73.237,74.373,3.055,75.239, 10.90 , 15.00 , 13.40 ,
3099    ,PL-APW10.5%,90.00,86.505,89.506,3.819,87.651, 11.00 , 15.10 , 13.40 ,
3077    ,PL-VT28,5.00,5.335,5.365,0.193,5.425, 11.00 , 14.70 , 13.00 ,
3106    ,PL-VT28(FOOD),55.00,54.630,54.823,2.110,56.136, 11.10 , 15.00 , 13.50 ,
3118    ,PL-ASW,90.00,83.176,86.143,3.579,84.806, 11.10 , 15.00 , 13.50 ,
3119    ,PL-VT28,80.00,72.842,76.114,3.899,75.998, 11.40 , 15.40 , 13.80 ,
3120    ,PL-APW10.5%,80.00,79.393,81.507,3.961,80.475, 10.70 , 15.10 , 13.50 ,
3121    ,PL-DNS(BREAD),90.00,84.390,85.184,3.890,86.845, 11.30 , 15.30 , 13.50 ,
3133    ,PL-C/P(NOODLE),90.00,84.909,87.807,4.701,89.430, 10.80 , 15.50 , 13.70 ,
3128    ,PL-VT28,80.00,75.299,78.287,3.726,77.715, 11.00 , 15.50 , 13.50 ,
3129    ,PL-VT28,80.00,73.783,76.799,4.002,76.647, 10.70 , 15.50 , 13.40 ,
3134    ,PL-VT28(FOOD),90.00,84.623,84.425,2.818,86.183, 11.50 , 15.50 , 13.20 ,
3135    ,PL-DNS(BREAD),80.00,76.913,77.027,3.554,77.938, 11.50 , 15.50 , 13.50 ,
3136    ,PL-VT28,80.00,75.290,78.071,3.850,75.888, 10.70 , 15.90 , 13.50 ,
3141    ,PL-APW10.5%,90.00,79.118,79.347,4.263,79.587, 10.00 , 14.20 , 13.10 ,
3145    ,PL-VT34,80.00,75.264,76.893,3.666,75.244, 10.70 , 15.60 , 13.20 ,
3142    ,PL-VT28,80.00,75.284,78.384,3.907,76.810, 10.90 , 15.80 , 13.10 ,
3146    ,PL-VT34,80.00,75.342,76.610,3.728,75.208, 11.20 , 15.80 , 13.40 ,
3076    ,PL-VT28,90.00,147.022,149.892,7.981,151.476, 11.00 , 15.55 , 13.40 ,
3147    ,PL-VT34,80.00,75.262,76.711,4.192,78.974, 11.10 , 16.20 , 13.50 ,
3153    ,PL-DNS(BREAD),90.00,80.092,81.139,4.008,81.549, 11.00 , 15.40 , 13.70 ,
3154    ,PL-C/P(NOODLE),90.00,85.282,87.652,4.510,88.555, 11.00 , 15.40 , 13.70 ,
3155    ,PL-C/P 2,50.00,41.887,43.143,2.231,43.340, 11.00 , 15.40 , 13.30 ,
3164    ,PL-APW10.5%,90.00,83.160,84.597,4.914,82.987, 10.00 , 14.70 , 13.40 ,
3163    ,PL-DNS(BREAD),80.00,72.424,72.636,3.151,72.051, 11.80 , 15.30 , 13.50 ,
3165    ,PL-ASW,80.00,73.827,74.618,4.706,77.500, 9.70 , 14.80 , 13.30 ,
3171    ,PL-VT34,80.00,75.374,77.499,4.272,78.347, 10.80 , 16.00 , 13.60 ,
3143    ,PL-VT28,80.00,72.462,74.855,5.065,76.361, 10.20 , 16.00 , 13.50 ,
3170    ,PL-DNS(BREAD),90.00,84.692,84.805,3.213,84.814, 11.60 , 15.20 , 13.20 ,
3105    ,PL-VT28,90.00,85.275,87.04,5.456,89.976, 10.25 , 15.10 , 13.60 ,
3178    ,PL-VT34,90.00,83.579,86.028,4.579,87.405, 11.40 , 15.10 , 13.20 ,
3181    ,PL-DNS(BREAD),90.00,82.900,85.144,3.410,81.409, 11.70 , 15.50 , 13.60 ,
3180    ,PL-VT34,90.00,85.371,85.324,4.361,89.569, 11.50 , 15.60 , 13.50 ,
3187    ,PL-VT34,90.00,84.109,84.132,4.542,87.931, 11.60 , 16.10 , 13.80 ,
3188    ,PL-C/P(NOODLE),90.00,85.125,87.545,4.783,88.668, 10.65 , 15.10 , 13.70 ,
3191    ,PL-APW10.5%,90.00,84.165,85.903,5.244,86.404, 9.60 , 14.70 , 13.00 ,
3192    ,PL-VT34,90.00,83.929,83.731,4.570,87.238, 11.00 , 15.60 , 13.30 ,
3202    ,PL-VT34,80.00,75.370,77.125,4.242,78.105, 11.20 , 15.80 , 13.50 ,
3203    ,PL-VT34,80.00,80.149,82.092,4.573,83.421, 11.20 , 16.00 , 13.50 ,
3204    ,PL-VT28,90.00,83.389,84.657,3.329,85.931, 12.60 , 15.20 , 12.90 ,
3205    ,PL-DNS(BREAD),90.00,83.441,84.805,3.450,83.274, 11.20 , 15.80 , 13.20 ,
3206    ,PL-VT34,80.00,75.361,77.443,4.381,79.047, 11.20 , 16.00 , 13.40 ,
3174    ,PL-VT28,80.00,73.378,74.448,3.366,76.011, 12.20 , 16.30 , 13.50 ,
3211    ,PL-VT34,80.00,75.236,75.768,4.568,79.601, 11.10 , 16.30 , 13.40 ,
3212    ,PL-VT34,80.00,74.418,75.725,5.050,79.288, 9.90 , 15.80 , 13.30 ,
3210    ,PL-DNS(BREAD),90.00,83.691,86.401,3.439,83.056, 11.90 , 15.50 , 13.60 ,
3214    ,PL-VT28,90.00,85.278,85.227,5.437,88.770, 11.10 , 15.70 , 13.10 ,
3218    ,PL-VT28,80.00,75.331,76.748,4.685,77.911, 12.40 , 15.50 , 13.40 ,
3221    ,PL-VT28(FOOD),80.00,75.378,77.531,2.882,76.764, 12.40 , 15.10 , 13.20 ,
3222    ,PL-VT28,90.00,85.307,87.646,5.113,88.841, 10.80 , 16.60 , 13.50 ,
3223    ,PL-VT28,90.00,85.307,85.190,5.052,88.830, 10.80 , 15.90 , 13.20 ,
3224    ,PL-VT28,90.00,85.613,86.176,3.267,87.239, 12.20 , 15.90 , 13.50 ,
3232    ,PL-VT28,90.00,130.371,134.751,6.768,136.659, 11.35 , 15.70 , 13.10 ,
3233    ,PL-C/P(NOODLE),90.00,85.271,86.356,4.852,89.879, 10.70 , 15.10 , 13.90 ,
3236    ,PL-C/P 2,70.00,65.802,66.574,3.768,69.354, 10.30 , 15.80 , 13.20 ,
3237    ,PL-VT28,90.00,85.345,89.109,4.589,88.798, 11.00 , 16.00 , 13.70 ,
3238    ,PL-VT28,90.00,85.293,85.078,4.579,89.180, 11.00 , 15.50 , 13.50 ,
3246    ,PL-APW10.5%,80.00,74.626,76.221,4.670,76.983, 11.00 , 14.70 , 13.60 ,
3247    ,PL-C/P(NOODLE),90.00,85.341,88.366,4.705,89.602, 10.50 , 15.60 , 13.30 ,
3248    ,PL-VT28,80.00,75.302,74.991,3.684,78.099, 10.50 , 15.30 , 12.80 ,
3256    ,PL-ASW,80.00,72.289,72.840,4.945,76.176, 10.50 , 14.90 , 13.50 ,
3257    ,PL-DNS(BREAD),90.00,85.204,87.193,3.514,87.668, 11.40 , 15.10 , 13.40 ,
3258    ,PL-VT34,80.00,77.307,78.087,4.836,81.840, 10.70 , 15.70 , 13.30 ,
3265    ,PL-DNS(BREAD),90.00,81.488,83.609,3.625,82.995, 11.20 , 15.30 , 13.10 ,
3219    ,PL-VT34,80.00,81.022,81.484,5.298,85.813, 10.60 , 15.80 , 13.40 ,
3230    ,PL-VT28,80.00,85.367,86.95,4.821,89.684, 10.60 , 15.90 , 13.30 ,
3268    ,PL-C/P(NOODLE),40.00,40.247,40.603,2.217,42.072, 10.60 , 15.40 , 13.20 ,
3269    ,PL-C/P 2,50.00,42.141,42.510,2.240,43.281, 10.70 , 15.10 , 13.10 ,
3270    ,PL-VT28,80.00,78.352,80.179,4.225,82.279, 11.20 , 15.60 , 13.20 ,
3271    ,PL-VT34,80.00,72.360,72.854,4.747,76.749, 10.10 , 16.10 , 13.50 ,
3274    ,PL-APW10.5%,90.00,83.997,83.641,5.205,87.461, 9.70 , 15.10 , 13.50 ,
3275    ,PL-VT28,80.00,78.183,80.118,4.695,82.542, 11.00 , 16.10 , 13.20 ,
3281    ,PL-VT34,80.00,71.316,71.820,4.773,76.239, 10.60 , 15.80 , 13.40 ,
3282    ,PL-APW10.5%,90.00,82.872,82.108,5.181,85.228, 10.30 , 16.00 , 13.50 ,
3283    ,PL-DNS(BREAD),80.00,74.861,76.539,3.369,75.688, 11.70 , 15.20 , 13.60 ,
3276    ,PL-VT28,80.00,75.487,76.590,4.547,79.804, 10.60 , 16.10 , 13.90 ,
3291    ,PL-C/P(NOODLE),50.00,50.312,50.574,2.561,51.186, 10.80 , 15.50 , 13.40 ,
3292    ,PL-C/P 2,40.00,48.795,50.075,2.413,49.214, 10.80 , 15.30 , 13.40 ,
3293    ,PL-DNS(BREAD),80.00,75.314,77.313,3.608,77.026, 11.35 , 15.30 , 13.80 ,
3294    ,PL-VT28(FOOD),80.00,75.417,77.888,2.117,76.559, 12.30 , 15.60 , 13.50 ,
3298    ,PL-DNS(BREAD),80.00,83.448,85.694,4.265,85.809, 12.30 , 15.50 , 13.90 ,
3299    ,PL-C/P(NOODLE),90.00,85.284,87.624,4.146,84.307, 11.10 , 15.30 , 13.60 ,
3304    ,PL-APW10.5%,90.00,82.599,83.620,4.491,84.845, 10.20 , 15.50 , 13.60 ,
3305    ,PL-VT28,80.00,75.128,77.191,4.251,79.331, 11.00 , 16.30 , 13.90 ,
3310    ,PL-VT28,80.00,75.282,77.685,4.182,79.327, 11.30 , 16.90 , 14.00 ,
3314    ,PL-VT28,90.00,73.003,75.949,3.661,76.822, 11.30 , 16.20 , 13.60 ,
3315    ,PL-VT28,90.00,150.298,158.549,6.624,159.493, 11.85 , 16.20 , 13.90 ,
3319    ,PL-C/P(NOODLE),90.00,85.242,88.410,4.376,88.513, 10.80 , 15.20 , 13.60 ,
3320    ,PL-C/P 2,50.00,42.481,44.254,2.397,44.858, 10.70 , 15.60 , 13.50 ,
3321    ,PL-VT28,80.00,75.269,78.990,3.296,79.003, 12.10 , 15.80 , 13.40 ,
3306    ,PL-VT34,80.00,80.282,82.442,3.494,82.187, 12.00 , 16.80 , 14.00 ,
3333    ,PL-DNS(BREAD),90.00,68.801,71.226,3.553,71.801, 12.00 , 15.80 , 13.40 ,
3332    ,PL-VT28,80.00,85.207,89.664,4.050,90.382, 11.50 , 15.70 , 13.30 ,
3339    ,PL-C/P(NOODLE),90.00,85.277,88.586,4.694,88.750, 10.90 , 15.70 , 13.50 ,
3340    ,PL-C/P 2,80.00,69.843,72.181,3.943,72.573, 10.70 , 15.40 , 13.20 ,
3300    ,PL-VT34,80.00,99.356,102.837,3.705,99.227, 11.80 , 16.00 , 13.50 ,
3345    ,PL-VT28(FOOD),80.00,86.570,89.098,3.030,90.261, 12.10 , 15.40 , 13.50 ,
3346    ,PL-VT28,80.00,80.288,83.589,4.075,85.715, 11.50 , 15.70 , 13.50 ,
3348    ,PL-VT28,80.00,74.115,77.418,3.749,78.961, 11.80 , 15.80 , 13.30 ,
3344    ,PL-DNS(BREAD),90.00,82.226,85.502,4.496,85.972, 11.10 , 16.00 , 14.10 ,
3349    ,PL-APW10.5%,80.00,72.007,74.297,4.003,74.908, 10.40 , 15.30 , 13.40 ,
3350    ,PL-C/P(NOODLE),90.00,85.245,88.437,4.501,88.110, 10.80 , 15.30 , 14.10 ,
3356    ,PL-ASW,80.00,75.294,77.814,5.283,81.236, 9.40 , 15.60 , 13.10 ,
3357    ,PL-APW10.5%,90.00,81.387,83.696,4.472,82.781, 10.30 , 15.30 , 13.40 ,
3358    ,PL-VT28,80.00,75.286,78.273,3.777,82.673, 10.30 , 15.70 , 13.50 ,
3367    ,PL-VT28,80.00,80.300,83.413,4.048,85.626, 11.20 , 15.70 , 13.50 ,
3366    ,PL-DNS(BREAD),90.00,80.275,83.397,4.092,83.807, 11.20 , 15.80 , 13.40 ,
3368    ,PL-VT28,80.00,75.332,78.455,3.714,79.521, 11.20 , 15.30 , 13.70 ,
3375    ,PL-C/P(NOODLE),90.00,61.162,63.497,3.074,61.064, 11.00 , 15.60 , 13.50 ,
3376    ,PL-VT28,90.00,87.765,91.521,4.198,92.746, 11.70 , 16.20 , 13.50 ,
3377    ,PL-VT34,70.00,70.289,71.856,3.957,74.815, 11.30 , 15.70 , 13.50 ,
3384    ,PL-VT28,90.00,85.307,88.760,3.608,89.078, 11.90 , 15.80 , 13.50 ,
3385    ,PL-VT28,80.00,75.270,78.243,3.056,78.658, 11.50 , 15.80 , 13.50 ,
3383    ,PL-DNS(BREAD),80.00,70.017,72.500,3.483,73.411, 11.50 , 15.80 , 13.50 ,
3387    ,PL-VT28,90.00,85.315,88.971,3.548,89.731, 11.70 , 16.10 , 13.50 ,
3388    ,PL-VT28,90.00,85.315,88.711,3.662,89.325, 11.90 , 15.70 , 13.50 ,
3391    ,PL-VT34,80.00,80.484,83.163,4.555,85.635, 10.80 , 15.80 , 13.50 ,
3392    ,PL-VT28,80.00,80.315,82.947,3.779,85.143, 11.30 , 15.60 , 13.20 ,
3393    ,PL-VT28(FOOD),90.00,82.994,83.165,3.891,85.743, 10.30 , 15.20 , 13.00 ,
3400    ,PL-C/P(NOODLE),90.00,82.820,84.023,4.514,84.459, 10.70 , 15.80 , 13.50 ,
3401    ,PL-APW10.5%,80.00,75.247,76.325,4.204,79.346, 10.10 , 15.80 , 13.30 ,
3402    ,PL-VT28,80.00,75.331,77.355,3.671,78.341, 10.90 , 15.90 , 13.40 ,
3406    ,PL-DNS(BREAD),80.00,71.198,72.943,3.655,73.343, 11.10 , 15.80 , 13.60 ,
3408    ,PL-VT28,80.00,73.524,73.803,4.640,77.316, 10.30 , 15.80 , 13.30 ,
3407    ,PL-C/P(NOODLE),90.00,81.831,83.285,5.146,86.796, 10.00 , 15.40 , 13.40 ,
3411    ,PL-DNS(BREAD),80.00,68.390,70.482,3.544,71.382, 11.00 , 15.80 , 13.30 ,
3412    ,PL-VT28,90.00,72.403,72.578,3.289,74.243, 10.90 , 16.80 , 13.40 ,
3413    ,PL-VT28,80.00,73.364,73.549,2.641,76.232, 11.00 , 15.80 , 13.30 ,
3420    ,PL-DNS(BREAD),90.00,79.071,81.213,4.104,81.589, 11.20 , 16.00 , 13.50 ,
3421    ,PL-VT28,80.00,75.302,75.683,2.911,78.434, 12.40 , 15.80 , 13.50 ,
3422    ,PL-VT28,80.00,75.296,76.241,3.189,79.093, 11.80 , 15.90 , 13.30 ,
3425    ,PL-VT28,80.00,77.578,78.439,3.879,81.812, 11.20 , 15.50 , 13.70 ,
3426    ,PL-C/P(NOODLE),90.00,82.944,84.683,5.193,88.228, 10.20 , 15.60 , 13.30 ,
3431    ,PL-VT28,80.00,75.287,76.274,4.136,79.014, 10.60 , 15.20 , 13.10 ,
3437    ,PL-VT34,80.00,80.401,81.962,4.833,85.837, 11.10 , 16.20 , 13.40 ,
3433    ,PL-VT28,80.00,71.859,72.892,4.518,75.875, 10.90 , 15.60 , 13.50 ,
3434    ,PL-C/P(NOODLE),90.00,83.018,84.861,5.058,88.060, 10.20 , 15.50 , 13.10 ,
3427    ,PL-DNS(BREAD),90.00,78.870,81.083,4.204,81.799, 11.00 , 16.30 , 13.70 ,
3438    ,PL-VT34,80.00,75.543,77.173,4.348,80.058, 11.00 , 15.90 , 13.80 ,
3441    ,PL-VT28,80.00,75.752,76.644,4.529,79.511, 11.00 , 15.90 , 13.30 ,
3442    ,PL-APW10.5%,90.00,36.647,37.396,2.083,37.178, 10.50 , 15.20 , 13.40 ,
3432    ,PL-VT28,80.00,75.308,75.831,4.688,78.954, 10.50 , 15.90 , 13.25 ,
3452    ,PL-VT28,80.00,85.242,86.032,5.208,88.989, 10.60 , 15.60 , 13.25 ,
3453    ,PL-VT28,80.00,85.256,86.227,5.261,88.849, 10.60 , 16.00 , 13.50 ,
3454    ,PL-VT28,90.00,85.274,86.277,5.216,81.799, 11.10 , 16.00 , 13.50 ,
3455    ,PL-VT28,80.00,75.306,75.571,4.555,79.302, 11.20 , 15.80 , 13.70 ,
3456    ,PL-VT28,80.00,75.303,75.715,4.856,79.890, 10.70 , 15.60 , 13.20 ,
3457    ,PL-VT28,90.00,78.937,79.450,5.256,84.325, 10.20 , 15.50 , 13.30 ,
3465    ,PL-C/P(NOODLE),90.00,80.045,81.101,4.764,83.072, 10.50 , 15.50 , 13.95 ,
3464    ,PL-APW10.5%,80.00,97.280,98.588,5.759,100.032, 10.00 , 15.30 , 13.70 ,
3466    ,PL-VT28,80.00,75.308,75.524,4.949,79.063, 10.20 , 15.70 , 13.20 ,
3471    ,PL-ASW,80.00,77.179,78.521,4.135,77.887, 10.60 , 15.70 , 13.40 ,
3478    ,PL-SW10.5%,50.00,51.597,53.038,2.642,49.388, 10.20 , 15.10 , 13.40 ,
3472    ,PL-VT28,90.00,87.292,87.195,6.107,91.618, 10.30 , 16.30 , 13.50 ,
3479    ,PL-DNS(BREAD),90.00,81.412,84.762,4.268,84.778, 11.40 , 16.20 , 13.70 ,
3488    ,PL-C/P 2,50.00,47.981,49.668,2.663,50.101, 10.30 , 16.20 , 15.20 ,
3489    ,PL-APW10.5%,80.00,75.637,77.535,4.445,78.438, 10.70 , 15.10 , 13.30 ,
3501    ,PL-VT28,90.00,81.239,81.284,5.505,80.153, 9.70 , 15.60 , 12.80 ,
3502    ,PL-VT28,90.00,75.278,77.480,3.595,85.168, 11.50 , 15.60 , 15.80 ,
3490    ,PL-VT34,90.00,59.037,60.400,2.525,61.699, 11.30 , 15.40 , 13.30 ,
3507    ,PL-VT28,90.00,156.915,160.024,6.924,166.264, 12.00 , 15.80 , 13.50 ,
3508    ,PL-C/P(NOODLE),70.00,70.234,72.706,4.105,74.985, 11.20 , 16.10 , 13.60 ,
3516    ,PL-C/P 2,20.00,17.760,18.513,0.917,18.870, 10.80 , 15.10 , 13.50 ,
3509    ,PL-VT28(FOOD),80.00,80.275,81.245,2.618,84.147, 10.80 , 15.10 , 13.45 ,
3510    ,PL-VT28,80.00,75.267,78.175,3.608,79.989, 11.60 , 15.70 , 13.40 ,
3480    ,PL-VT28,80.00,76.989,79.996,3.675,81.672, 12.10 , 15.80 , 13.50 ,
3517    ,PL-VT34,80.00,75.299,77.334,3.765,80.362, 11.70 , 15.60 , 13.70 ,
3518    ,PL-APW10.5%,90.00,83.139,86.216,4.890,85.929, 10.60 , 15.30 , 13.40 ,
3525    ,PL-DNS(BREAD),90.00,84.057,87.941,3.869,87.118, 11.60 , 15.80 , 14.00 ,
