Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
3637    ,PL-VT28,90.00,80.100,82.500,3.459,83.000, 12.10 , 15.70 , 13.20 ,
3638    ,PL-VT28,90.00,84.975,87.953,3.792,89.869, 12.20 , 16.20 , 13.50 ,
3639    ,PL-VT28,80.00,75.313,78.232,3.367,79.736, 11.90 , 16.20 , 13.55 ,
3643    ,PL-VT28(FOOD),80.00,73.063,75.840,2.398,76.291, 11.90 , 15.20 , 13.30 ,
3653    ,PL-APW10.5%,80.00,73.441,74.425,4.337,76.120, 10.00 , 15.20 , 13.30 ,
3655    ,PL-VT28(FOOD),90.00,83.708,84.737,2.767,86.742, 12.30 , 15.30 , 13.40 ,
3656    ,PL-C/P 2,80.00,75.323,78.408,4.295,79.091, 10.80 , 15.60 , 13.50 ,
3657    ,PL-C/P(NOODLE),80.00,82.028,86.007,4.933,87.332, 10.80 , 15.50 , 13.67 ,
3642    ,PL-DNS(BREAD),90.00,81.782,84.217,3.402,82.611, 12.00 , 16.00 , 13.57 ,
3660    ,PL-VT28,80.00,75.348,78.653,3.143,79.362, 11.90 , 15.30 , 13.50 ,
3661    ,PL-VT28,90.00,74.411,77.912,3.143,78.269, 12.20 , 15.80 , 13.60 ,
3664    ,PL-VT28,80.00,75.293,77.113,3.173,79.366, 12.25 , 15.20 , 13.30 ,
3665    ,PL-VT28,80.00,74.245,75.848,3.142,78.150, 12.25 , 15.20 , 13.40 ,
3675    ,PL-APW10.5%,90.00,82.136,84.101,4.856,86.272, 10.20 , 15.30 , 13.30 ,
3676    ,PL-C/P(NOODLE),90.00,83.267,84.906,4.774,88.119, 10.50 , 15.50 , 13.85 ,
3677    ,PL-ASW,70.00,60.066,63.050,3.171,61.549, 10.30 , 14.50 , 12.85 ,
3683    ,PL-APW10.5%,90.00,82.784,84.057,4.872,85.882, 10.30 , 15.00 , 13.70 ,
3694    ,PL-DNS(BREAD),80.00,82.421,94.929,4.466,85.700, 11.20 , 15.60 , 13.70 ,
3701    ,PL-APW10.5%,80.00,72.584,73.000,4.106,74.413, 10.10 , 14.80 , 13.75 ,
3684    ,PL-DNS(BREAD),70.00,71.137,80.663,3.836,73.595, 11.50 , 15.30 , 13.45 ,
3591    ,PL-VT34,90.00,60.046,61.217,2.866,62.963, 12.10 , 15.70 , 13.50 ,
3678    ,PL-VT28,90.00,85.345,88.640,3.732,89.270, 12.10 , 16.00 , 13.30 ,
3693    ,PL-VT28,90.00,85.273,87.482,3.731,90.242, 11.80 , 15.90 , 13.45 ,
3703    ,PL-VT28,90.00,85.295,87.591,3.769,90.359, 11.90 , 15.60 , 13.30 ,
3704    ,PL-VT28,90.00,85.292,88.205,3.802,90.509, 11.90 , 15.60 , 13.55 ,
3706    ,PL-DNS(BREAD),90.00,80.563,82.727,4.316,84.489, 10.60 , 15.60 , 14.10 ,
3707    ,PL-VT28,80.00,75.315,78.920,3.389,79.487, 12.20 , 16.30 , 13.60 ,
3708    ,PL-VT28,80.00,75.278,78.859,3.376,79.036, 12.10 , 15.90 , 13.70 ,
3710    ,PL-C/P(NOODLE),90.00,86.090,88.125,4.390,88.990, 10.40 , 15.00 , 13.25 ,
3711    ,PL-VT28,90.00,85.303,89.391,3.899,89.815, 11.80 , 15.70 , 13.50 ,
3713    ,PL-C/P(NOODLE),90.00,78.828,81.251,4.210,81.167, 11.10 , 15.60 , 13.90 ,
3714    ,PL-ASW,70.00,68.546,71.320,3.734,69.855, 10.00 , 15.00 , 13.35 ,
3727    ,PL-VT28(FOOD),80.00,80.305,81.392,3.512,84.366, 11.40 , 15.00 , 13.53 ,
3728    ,PL-DNS(BREAD),90.00,80.420,81.792,4.068,83.554, 10.80 , 15.50 , 13.40 ,
3734    ,PL-C/P(NOODLE),90.00,85.323,87.845,3.706,86.571, 10.70 , 14.90 , 13.37 ,
3729    ,PL-VT28,80.00,84.157,84.640,3.541,88.633, 11.30 , 15.60 , 13.53 ,
3730    ,PL-APW10.5%,80.00,73.138,73.580,4.242,76.366, 9.90 , 15.10 , 13.30 ,
3739    ,PL-DNS(BREAD),90.00,81.829,83.098,4.224,86.568, 9.90 , 15.30 , 13.20 ,
3735    ,PL-VT28,80.00,75.248,76.149,3.366,78.569, 11.90 , 15.30 , 13.13 ,
3740    ,PL-VT28,80.00,76.137,76.979,3.699,79.731, 11.40 , 15.30 , 12.93 ,
3749    ,PL-VT34,80.00,62.284,62.559,2.756,64.739, 11.40 , 16.10 , 13.50 ,
3741    ,PL-VT28,80.00,75.248,76.204,3.951,78.702, 11.00 , 15.50 , 13.00 ,
3750    ,PL-VT28,80.00,75.272,76.240,4.143,78.959, 10.80 , 15.30 , 12.80 ,
3756    ,PL-VT28,80.00,83.906,85.729,4.719,88.640, 11.10 , 15.90 , 13.15 ,
3757    ,PL-VT28,80.00,75.263,76.185,4.378,78.999, 10.70 , 15.90 , 13.20 ,
3759    ,PL-C/P(NOODLE),90.00,85.359,89.468,4.167,89.108, 10.70 , 15.40 , 13.40 ,
3758    ,PL-VT28,90.00,85.277,86.674,5.505,89.728, 10.70 , 15.50 , 13.35 ,
3760    ,PL-VT28,80.00,75.290,76.376,5.312,79.528, 10.40 , 16.20 , 13.50 ,
3762    ,PL-C/P(NOODLE),90.00,74.295,77.728,3.632,76.652, 11.10 , 15.80 , 13.65 ,
3774    ,PL-APW10.5%,90.00,78.037,77.691,4.443,80.637, 10.10 , 14.10 , 13.20 ,
3775    ,PL-DNS(BREAD),90.00,76.118,77.353,4.039,82.171, 10.60 , 15.60 , 13.35 ,
3761    ,PL-VT28,80.00,75.257,76.426,4.399,78.497, 10.40 , 15.40 , 12.83 ,
3776    ,PL-VT28(FOOD),80.00,55.819,56.373,1.913,57.694, 11.50 , 15.10 , 13.30 ,
3777    ,PL-DNS(BREAD),80.00,76.356,80.087,3.990,79.253, 11.10 , 15.90 , 13.67 ,
3763    ,PL-VT28,80.00,75.298,76.816,4.860,78.450, 11.50 , 16.00 , 13.47 ,
3764    ,PL-VT28,80.00,75.293,76.262,4.927,78.814, 9.80 , 16.20 , 13.50 ,
3778    ,PL-VT28,90.00,85.223,86.282,5.378,88.594, 10.20 , 15.60 , 13.40 ,
3781    ,PL-VT28,90.00,79.716,82.600,4.916,81.769, 10.20 , 15.80 , 13.35 ,
3782    ,PL-VT28,90.00,85.193,85.850,4.054,89.107, 11.90 , 16.00 , 13.50 ,
3786    ,PL-VT28,90.00,85.265,85.186,3.998,89.825, 12.20 , 16.00 , 13.70 ,
3792    ,PL-VT28,80.00,75.307,76.076,2.613,78.184, 12.50 , 16.50 , 14.00 ,
3790    ,PL-APW10.5%,90.00,81.901,82.052,5.083,85.237, 9.90 , 15.60 , 13.60 ,
3795    ,PL-DNS(BREAD),90.00,81.250,81.730,4.587,85.303, 10.70 , 15.90 , 13.50 ,
3796    ,PL-VT28,80.00,75.267,75.706,2.487,77.776, 12.10 , 15.70 , 13.40 ,
3797    ,PL-VT28,80.00,75.336,75.858,2.458,77.882, 12.50 , 15.30 , 13.40 ,
3791    ,PL-ASW,80.00,72.219,74.866,3.833,73.975, 9.90 , 14.40 , 12.90 ,
3812    ,PL-VT28(FOOD),80.00,78.310,79.318,2.206,80.469, 12.40 , 14.60 , 13.15 ,
3810    ,PL-C/P(NOODLE),90.00,85.277,87.806,4.701,89.389, 11.10 , 15.70 , 13.80 ,
3811    ,PL-C/P 2,80.00,71.877,74.233,4.008,75.949, 11.10 , 15.70 , 13.55 ,
3804    ,PL-VT28,80.00,54.964,55.614,1.718,57.130, 12.30 , 15.70 , 15.70 ,
3818    ,PL-APW10.5%,90.00,45.215,45.262,2.379,46.709, 11.00 , 15.40 , 13.30 ,
3827    ,VITAL WHOLE WHEAT,750.00,744.652,748.790,0.555,754.528, - , - , - ,
3836    ,PL-APW10.5%,90.00,80.251,80.539,4.337,84.040,10.80,14.60,13.70,
3835    ,PL-C/P(NOODLE),90.00,82.210,84.228,4.670,87.120,10.70,15.30,13.60,
3837    ,PL-DNS(BREAD),80.00,75.215,76.372,3.871,78.981,11.30,15.40,13.80,
3838    ,PL-VT28,80.00,78.093,78.487,2.088,80.906,11.30,15.50,13.60,
3849    ,PL-C/P(NOODLE),90.00,81.783,84.690,4.438,86.349,10.90,14.90,13.20,
3850    ,PL-VT28,80.00,75.224,75.496,2.178,78.155,12.90,15.80,13.50,
3851    ,PL-VT28,80.00,69.121,68.983,1.921,71.775,13.00,15.30,13.60,
3858    ,PL-VT28,90.00,85.235,85.083,2.486,88.329,13.00,15.30,13.55,
3866    ,PL-C/P(NOODLE),80.00,72.579,74.836,3.899,76.560,11.30,15.20,13.50,
