Row Labels,Sum of Quatity
4687,151946
4694,75347
4695,80581
4697,78172
4698,84893
4699,77335
4700,79741
4701,81112
4702,75424
4707,85639
4708,74974
4709,65070
4717,76240
4718,78038
4723,79796
4724,74841
4725,80452
4728,72015
4730,74946
4731,83390
4737,83882
4738,93842
4739,81537
4740,82326
4741,87346
4742,71386
4748,73229
4749,77677
4759,982266
4770,68230
4771,82575
4772,77802
4773,80056
4787,75884
4788,76424
4790,83731
4792,77291
4797,117774
4798,81530
4799,68035
4801,85635
4802,75777
4803,75550
4812,74023
4813,81530
4814,85900
4823,33593
4824,64058
4825,89848
4831,75984
4832,83789
4844,199683
4845,85612
4846,83563
4847,44514
4857,86082
4858,69734
4861,72520
4863,74475
4864,75862
4865,83682
4871,86183
4872,74893
4873,74719
4876,85256
4877,75496
4878,74652
4879,75664
4880,72471
4881,75554
4885,73876
4890,72346
4891,45083
4892,45304
4898,73504
4899,74324
4907,86372
4908,71287
4909,75452
4914,86417
4915,76420
4916,75838
4917,79633
4918,83770
4919,55404
4920,76636
4921,75525
4922,54038
4929,1139296
4951,85288
4953,83631
4954,84813
4956,48394
4965,71432
4977,75827
4978,76242
4979,85858
4984,75735
4985,70347
4987,46964
4988,72933
4989,83754
4990,75541
4991,73793
4992,83725
4997,74582
5004,66829
5010,82824
5011,75454
5012,71844
5017,72918
5018,82255
5019,74736
5024,74944
5025,73780
5026,84484
5031,73737
5033,84729
5034,71284
5035,68704
5036,83877
5037,84626
5045,82791
5046,75252
5047,53919
5053,74692
5054,71197
5055,72583
5057,103333
5058,74295
5066,957690
5084,85558
5086,85730
5087,75968
5088,81510
5089,72712
5090,75003
5091,75453
5092,65279
5098,71210
5100,75035
5101,85789
5103,76106
5104,69888
5105,76450
5106,74791
5107,71569
5108,81107
5117,78809
5118,74339
5119,75387
5126,82648
5127,85823
5133,644517
