Row Labels,Sum of Quatity
4645,-63681
4646,-61940
4653,-66304
4654,-60576
4655,-69881
4667,-70343
4668,-64175
4671,-63198
4672,-59682
4684,-68271
4685,-64459
4687,-109138
4694,-61155
4695,-64572
4697,-57867
4698,-59612
4699,-59619
4700,-59155
4701,-61337
4702,-61474
4707,-69664
4708,-63905
4709,-54773
4717,-65690
4718,-53722
4723,-66825
4724,-67725
4725,-61171
4728,-57037
4730,-65034
4731,-60137
4737,-68196
4738,-77266
4739,-69788
4740,-65054
4741,-67489
4742,-54361
4748,-56011
4749,-52591
4759,-1014090
4770,-56789
4771,-61781
4772,-49540
4773,-72072
4787,-68972
4788,-68531
4790,-60179
4792,-60877
4797,-90111.01
4798,-68775.01
4799,-59542.01
4801,-73143.01
4802,-64603.01
4803,-63506.01
4812,-48017.01
4813,-63674.01
4814,-75738.01
4823,-28788.01
4824,-45572.01
4825,-68024
4831,-72633
4832,-70308
4844,-150121
4845,-63675
4846,-62246
4847,-33721
4857,-70187
4858,-59954
4861,-53427
4863,-64746
4864,-64217
4865,-62125
4871,-72320
4872,-61919
4873,-62474
4876,-57724
4877,-64186
4878,-62454
4879,-63317
4880,-58890
4881,-63427
4885,-52085
4890,-46935
4891,-22687
4892,-26994
4898,-65054
4899,-60700
4907,-55147
4908,-60291
4909,-64444
4914,-71125
4915,-63365
4916,-64341
4917,-66941
4918,-69330
4919,-36776
4920,-51395
4921,-52113
4922,-34148
4929,-1177560
4951,-46062
4953,-60438
4954,-66360
4956,-40359
4965,-60008
4977,-63367
4978,-62756
4979,-69665
4984,-64077
4985,-60746
4987,-33776
4988,-60539
4989,-62166
4990,-52403
4991,-47839
4992,-63908
4997,-60737
5004,-45184
5010,-69267
5011,-64440
5012,-51890
5017,-46401
5018,-54716
5019,-67033
5024,-65462
5025,-66081
5026,-73574
5031,-65176
5033,-73109
5034,-55374
5035,-60197
5036,-58631
5037,-58252
5045,-61126
5046,-64022
5047,-44912
5053,-63177
5054,-65573
5055,-47986
5057,-73723
5058,-64643
5066,-993230
5084,-63523
5086,-57371
5087,-52391
5088,-59981
5089,-57769
5090,-62220
5091,-62171
5092,-56310
5098,-45641
5100,-62228
5101,-73838
5103,-61768
5104,-58140
5105,-54732
5106,-51117
5107,-51423
5108,-62807
5117,-60048
5118,-53398
5119,-60565
5126,-74049
5127,-71316
5133,-658640
5152,126209
