PO,MaterialNO,MaterialDescription,Batch,Date,Movementtype,Storagelocation,Qtyinbaseun.+sign(MEINS),Quantity(/CWM/MEINS),Quantity,Note
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270001,01/04/2023,261,3101,991.7,0,991.7,
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270002,01/04/2023,261,3101,14628.3,0,14628.3,
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,01/04/2023,261,3101,2513,0,2513,
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280007,01/04/2023,261,3101,2135.68,0,2135.68,
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2211070006,01/04/2023,261,3101,35308.32,0,35308.32,
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,01/04/2023,261,3105,6716,0,6716,
2766,3100000080,Cleaning Flour,221224001A,01/05/2023,261,3921,1195,0,1195,Start up flour (GI)
2766,3100000080,Cleaning Flour,221224002A,01/05/2023,261,3921,3965,0,3965,Start up flour (GI)
2766,3100000080,Cleaning Flour,230104001A,01/05/2023,261,3921,3203,0,3203,Start up flour (GI)
2766,3100000080,Cleaning Flour,230105001A,01/05/2023,261,3921,838,0,838,Start up flour (GI)
2766,3100000080,Cleaning Flour,221224001A,01/05/2023,262,3921,-1195,0,-1195,Start up flour (GI)
2766,3100000080,Cleaning Flour,221224002A,01/05/2023,262,3921,-3965,0,-3965,Start up flour (GI)
2766,3100000080,Cleaning Flour,230104001A,01/05/2023,262,3921,-3203,0,-3203,Start up flour (GI)
2766,3100000080,Cleaning Flour,230105001A,01/05/2023,262,3921,-838,0,-838,Start up flour (GI)
2766,3100000117,WIP,2212260010,01/05/2023,261,3001,113,0,113,REPROCESS
2766,3100000117,WIP,2212270020,01/05/2023,261,3001,56.43,0,56.43,REPROCESS
2766,3100000117,WIP,2212260010,01/05/2023,262,3001,-113,0,-113,REPROCESS
2766,3100000117,WIP,2212270020,01/05/2023,262,3001,-56.43,0,-56.43,REPROCESS
2768,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209290004,01/06/2023,261,3102,9603.65,0,9603.65,1
2768,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209290005,01/06/2023,261,3102,51239.7,0,51239.7,1
2768,3200000006,RM-APW10.5-AUSTRALIAN PREMIUM WHITE10.5%,2209300001,01/06/2023,261,3102,8490.65,0,8490.65,1
2768,3200000017,RM-SW10.5-SOFT WHITE10.5%,2210070002,01/06/2023,261,3107,2903.275,0,2903.275,1
2768,3200000017,RM-SW10.5-SOFT WHITE10.5%,2210070003,01/06/2023,261,3107,14407.725,0,14407.725,1
2768,3100000022,PL-APW 10.5%,230107002A,01/07/2023,101,3406,-59832,0,-59832,
