Order,Material,Material Description,Batch,Posting Date,Movement type,Storage location,Qty in base un. + sign (MEINS),Quantity (/CWM/MEINS),Quatity,Unloading Point
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250002,22-12-07,262,3101,"-27,685.000",0.000,"-27,685.000",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205250003,22-12-07,262,3101,"-22,018.100",0.000,"-22,018.100",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280007,22-12-07,262,3101,"-4,022.320",0.000,"-4,022.320",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205260009,22-12-07,262,3105,"-17,271.500",0.000,"-17,271.500",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270010,22-12-07,262,3105,"-21,311.500",0.000,"-21,311.500",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280002,22-12-07,262,3105,"-15,345.100",0.000,"-15,345.100",1
2667,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280003,22-12-07,262,3105,-886.900,0.000,-886.900,1
2667,3100000011,PL-VT28,221208001A,22-12-08,101,3402,"-61,919.000",0.000,"-61,919.000",
2667,3100000011,PL-VT28,221208001A,22-12-08,101,3402,"-7,889.000",0.000,"-7,889.000",º ¡Start up flour (GR)
2667,3100000024,F3-LOW,221208001A,22-12-08,101,3403,-52.000,0.000,-52.000,
2667,3100000074,WHEAT BRAN,221208001A,22-12-08,101,4601,"-13,557.000",0.000,"-13,557.000",
2667,3100000080,Start up flour,221208001A,22-12-08,101,3921,"-2,513.000",0.000,"-2,513.000",
2667,3100000080,Cleaning Flour,221207001A,22-12-08,261,3921,878.000,0.000,878.000,CLEANING FLOUR
2667,3100000080,Cleaning Flour,221207002A,22-12-08,261,3921,"2,456.000",0.000,"2,456.000",CLEANING FLOUR
2667,3100000080,Cleaning Flour,221207003A,22-12-08,261,3921,"2,659.000",0.000,"2,659.000",CLEANING FLOUR
2667,3100000080,Cleaning Flour,221207004A,22-12-08,261,3921,"1,896.000",0.000,"1,896.000",CLEANING FLOUR
2667,3100000096,WIP ·ªÈß,2211040021,22-12-08,261,3001,100.000,"2,250.000","2,250.000",REPROCESS
2667,3100000096,WIP ·ªÈß,2212030020,22-12-08,261,3001,3.000,67.500,67.500,REPROCESS
2667,3100000096,WIP ·ªÈß,2212030030,22-12-08,261,3001,10.000,225.000,225.000,REPROCESS
2667,3100000096,WIP ·ªÈß,2212030040,22-12-08,261,3001,10.000,225.000,225.000,REPROCESS
2667,3100000096,WIP ·ªÈß,2212060010,22-12-08,261,3001,9.000,202.500,202.500,REPROCESS
2667,3100000096,WIP ·ªÈß,2211040021,22-12-08,261,3001,100.000,"2,250.000","2,250.000",REPROCESS
2667,3100000096,WIP ·ªÈß,2211040021,22-12-08,262,3001,-100.000,"-2,250.000","-2,250.000",REPROCESS
2667,3100000117,WIP (BULK),2211300010,22-12-08,261,3001,308.870,0.000,308.870,REPROCESS
2667,3100000117,WIP (BULK),2212010010,22-12-08,261,3001,136.000,0.000,136.000,REPROCESS
2667,3100000117,WIP (BULK),2212020010,22-12-08,261,3001,113.000,0.000,113.000,REPROCESS
2667,3100000117,WIP (BULK),2212070020,22-12-08,261,3001,109.590,0.000,109.590,REPROCESS
2667,3100000011,PL-VT28,221208001A,22-12-09,101,3402,"-7,889.000",0.000,"-7,889.000",º ¡Start up flour (GR)
2667,3100000011,PL-VT28,221208001A,22-12-09,102,3402,"7,889.000",0.000,"7,889.000",º ¡Start up flour (GR)
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,23-01-04,261,3101,"34,711.450",0.000,"34,711.450",1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,23-01-04,261,3101,"24,280.550",0.000,"24,280.550",1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220001,23-01-04,261,3101,"2,476.000",0.000,"2,476.000",1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,23-01-04,261,3101,"25,665.450",0.000,"25,665.450",
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,23-01-04,261,3101,"1,199.550",0.000,"1,199.550",
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,23-01-04,261,3102,"21,646.000",0.000,"21,646.000",
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,23-01-04,261,3102,"12,957.000",0.000,"12,957.000",
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,23-01-04,262,3101,"-34,711.450",0.000,"-34,711.450",1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,23-01-04,262,3101,"-24,280.550",0.000,"-24,280.550",1
2765,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220001,23-01-04,262,3101,"-2,476.000",0.000,"-2,476.000",1
2765,3200000008,RM-CWRS13.5-CANADA WESTERN RED SPRING13.,2210060005,23-01-04,261,3104,"26,426.000",0.000,"26,426.000",1
2765,3100000002,PL-C/P (NOODLE),230105001A,23-01-05,101,3410,"-56,414.000",0.000,"-56,414.000",
2765,3100000025,F3-HIGH,230105001A,23-01-05,101,3404,"-11,992.000",0.000,"-11,992.000",
2765,3100000074,WHEAT BRAN,230105001A,23-01-05,101,4601,"-15,425.000",0.000,"-15,425.000",
2765,3100000074,WHEAT BRAN,230105002A,23-01-05,101,4601,"-15,425.000",0.000,"-15,425.000",
2765,3100000074,WHEAT BRAN,230105002A,23-01-05,102,4601,"15,425.000",0.000,"15,425.000",
2765,3100000080,Start up flour,230105001A,23-01-05,101,3921,"-2,201.000",0.000,"-2,201.000",
2765,3100000096,WIP ·ªÈß,2212220031,23-01-05,261,3001,34.000,765.000,765.000,REPROCESS
2766,3100000011,PL-VT28,230104001A,23-01-04,101,3402,"-66,296.000",0.000,"-66,296.000",
2766,3100000011,PL-VT28,230104001A,23-01-04,101,3402,"-9,201.000",0.000,"-9,201.000",º ¡Start up flour (GR)
2766,3100000074,WHEAT BRAN,230104001A,23-01-04,101,4601,"-14,980.000",0.000,"-14,980.000",
2766,3100000080,Start up flour,230104001A,23-01-04,101,3921,"-3,203.000",0.000,"-3,203.000",
2766,3100000080,Cleaning Flour,221224001A,23-01-04,261,3921,"1,195.000",0.000,"1,195.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,221224002A,23-01-04,261,3921,"3,965.000",0.000,"3,965.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,230104001A,23-01-04,261,3921,"3,203.000",0.000,"3,203.000",CLEANING FLOUR
2766,3100000080,Cleaning Flour,230105001A,23-01-04,261,3921,838.000,0.000,838.000,CLEANING FLOUR
2766,3100000117,WIP (BULK),2212260010,23-01-04,261,3001,113.000,0.000,113.000,REPROCESS
2766,3100000117,WIP (BULK),2212270020,23-01-04,261,3001,56.430,0.000,56.430,REPROCESS
2766,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010004,23-01-04,261,3102,"25,864.850",0.000,"25,864.850",
2766,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010005,23-01-04,261,3102,914.150,0.000,914.150,
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270001,23-01-04,261,3101,991.700,0.000,991.700,
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270002,23-01-04,261,3101,"14,628.300",0.000,"14,628.300",
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,23-01-04,261,3101,"2,513.000",0.000,"2,513.000",
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205280007,23-01-04,261,3101,"2,135.680",0.000,"2,135.680",
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2211070006,23-01-04,261,3101,"35,308.320",0.000,"35,308.320",
2766,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,23-01-04,261,3105,"6,716.000",0.000,"6,716.000",
